n;mae
105;0.136610791
110;0.13742961
115;0.136392936
120;0.138663754
125;0.13440907
130;0.139843926
135;0.134675503
140;0.136389002
145;0.13685146
150;0.136700794
155;0.139685661
160;0.133453771
165;0.136741459
170;0.139761418
175;0.136829734
180;0.136617482
185;0.136067003
190;0.137029439
195;0.13604562
200;0.135845035
205;0.135632604
210;0.136331171
215;0.138984114
220;0.1371665
225;0.137881264
230;0.134726033
235;0.13528125
240;0.135678172
245;0.139269799
250;0.13481608
255;0.141632393
260;0.139145076
265;0.13404943
270;0.136418477
275;0.136239186
280;0.13549456
285;0.13400501
290;0.136708975
295;0.133730114
5;0.142042354
10;0.139589757
15;0.141814634
20;0.140294388
25;0.139457569
30;0.136044353
35;0.145195723
40;0.139509037
45;0.135758728
50;0.137838364
55;0.139025971
60;0.134390816
65;0.135502726
70;0.137946784
75;0.135266021
80;0.137128174
85;0.141429201
90;0.136350587
95;0.135707796
100;0.14143607
105;0.134561405
110;0.135507345
115;0.13782613
120;0.137679473
125;0.137749732
130;0.138221443
135;0.135795593
140;0.139385521
145;0.136890277
150;0.137316242
155;0.137487113
160;0.138881654
165;0.138386369
170;0.138720036
175;0.140103564
180;0.136676297
185;0.139144272
190;0.135097951
195;0.139302686
200;0.137719497
205;0.140546113
210;0.137648523
215;0.139561206
220;0.135304987
225;0.137139559
230;0.138728008
235;0.135587201
240;0.140982404
245;0.139576316
250;0.134228319
255;0.133868322
260;0.138173744
265;0.141232893
270;0.13771145
275;0.137695208
280;0.135545865
285;0.134590745
290;0.13717632
295;0.137406066
5;0.141778648
10;0.141565636
15;0.139686704
20;0.138622776
25;0.134649545
30;0.136358589
35;0.140608221
40;0.136616364
45;0.139702812
50;0.136483312
55;0.139066592
60;0.136571124
65;0.139097482
70;0.138174668
75;0.137579426
80;0.137346745
85;0.137729436
90;0.138146445
95;0.1381993
100;0.133813411
105;0.137275249
110;0.13804163
115;0.140428126
120;0.135454655
125;0.135037854
130;0.136721775
135;0.137122154
140;0.138938233
145;0.134859174
150;0.136094078
155;0.13365908
160;0.134519503
165;0.13652046
170;0.140109465
175;0.138981164
180;0.134718701
185;0.13560468
190;0.140947104
195;0.134921491
200;0.137870744
205;0.139509797
210;0.140086606
215;0.13879621
220;0.138257161
225;0.137906522
230;0.135216311
235;0.140490547
240;0.14106071
245;0.136641562
250;0.136229366
255;0.136051953
260;0.135273084
265;0.137769148
270;0.141325101
275;0.135705724
280;0.135858595
285;0.142786115
290;0.139817625
295;0.141331673
5;0.142729938
10;0.14197506
15;0.141979039
20;0.137693256
25;0.145329908
30;0.139317513
35;0.137008414
40;0.136762425
45;0.139712363
50;0.139965191
55;0.141263887
60;0.135988027
65;0.135988757
70;0.136767268
75;0.138013601
80;0.136415064
85;0.134855673
90;0.139092296
95;0.13439405
100;0.137766689
105;0.136156514
110;0.140526578
115;0.134120345
120;0.137145743
125;0.13533923
130;0.140070498
135;0.139890313
140;0.134687155
145;0.141039819
150;0.13734594
155;0.138087675
160;0.13610287
165;0.139239863
170;0.13652046
175;0.134525761
180;0.134205282
185;0.137460575
190;0.134936571
195;0.138775632
200;0.137871742
205;0.138538644
210;0.139338508
215;0.134880394
220;0.135291189
225;0.137862608
230;0.137330115
235;0.138969645
240;0.138309792
245;0.137159482
250;0.133784384
255;0.136707768
260;0.136007369
265;0.138045579
270;0.139982685
275;0.139881909
280;0.137808785
285;0.137075186
290;0.146928281
295;0.134231091
5;0.14164713
10;0.145710155
15;0.142713785
20;0.139068946
25;0.141893581
30;0.133750767
35;0.13919358
40;0.140279487
45;0.136833787
50;0.14071238
55;0.13777478
60;0.141088545
65;0.137703523
70;0.139939144
75;0.133909896
80;0.138491496
85;0.138535812
90;0.138507277
95;0.140421569
100;0.136635423
105;0.139410973
110;0.137138978
115;0.134984851
120;0.13841702
125;0.138528645
130;0.137059957
135;0.140217185
140;0.137387291
145;0.13945663
150;0.135960385
155;0.134996101
160;0.133723706
165;0.138440996
170;0.139776975
175;0.139190421
180;0.135685667
185;0.136933938
190;0.140433475
195;0.136950329
200;0.137118801
205;0.137632787
210;0.137729645
215;0.136093169
220;0.136091083
225;0.137559623
230;0.139336631
235;0.136496708
240;0.134672895
245;0.136486799
250;0.137643561
255;0.136747912
260;0.138695925
265;0.138428092
270;0.135978043
275;0.136026889
280;0.142557293
285;0.134915531
290;0.140088245
295;0.13777183
5;0.145028189
10;0.143713847
15;0.138743415
20;0.138285264
25;0.135066777
30;0.138355538
35;0.132256627
40;0.140248016
45;0.137962922
50;0.137288675
55;0.13620989
60;0.138780132
65;0.135831818
70;0.140204653
75;0.138647079
80;0.136035815
85;0.133287281
90;0.139247671
95;0.136908874
100;0.139949262
105;0.140854746
110;0.138936266
115;0.137451306
120;0.13781704
125;0.132646367
130;0.137203082
135;0.136599004
140;0.139124796
145;0.140275672
150;0.136151165
155;0.139003634
160;0.138373628
165;0.136734292
170;0.135740682
175;0.135456309
180;0.137013167
185;0.137946978
190;0.138492718
195;0.138223559
200;0.13726671
205;0.136912599
210;0.139182404
215;0.141920209
220;0.139197215
225;0.135944024
230;0.136376426
235;0.139061004
240;0.137847692
245;0.133988217
250;0.140748546
255;0.138164744
260;0.137885883
265;0.136032313
270;0.136225954
275;0.137411565
280;0.136823982
285;0.137024611
290;0.144990817
295;0.138131514
5;0.143307716
10;0.142239422
15;0.141852692
20;0.137978867
25;0.13633503
30;0.137397781
35;0.136390731
40;0.138309479
45;0.139561012
50;0.139377907
55;0.135427743
60;0.139206663
65;0.138411596
70;0.139547795
75;0.141254961
80;0.136750191
85;0.135508955
90;0.13792865
95;0.136901423
100;0.143274248
105;0.137246743
110;0.135948762
115;0.135572881
120;0.135124102
125;0.138840407
130;0.134357929
135;0.137851462
140;0.138363972
145;0.142567068
150;0.140139922
155;0.137740299
160;0.138116658
165;0.138496265
170;0.136657357
175;0.140260831
180;0.13735953
185;0.139995843
190;0.136346653
195;0.137079284
200;0.135705873
205;0.134832695
210;0.139532551
215;0.142614722
220;0.13942346
225;0.133401379
230;0.141120434
235;0.137069464
240;0.135792941
245;0.137471527
250;0.138501942
255;0.137502238
260;0.137778401
265;0.13717705
270;0.140297472
275;0.141495019
280;0.136741981
285;0.140738979
290;0.135347262
295;0.140345141
5;0.138824522
10;0.147413477
15;0.146167219
20;0.136720419
25;0.138453245
30;0.134774864
35;0.146815374
40;0.139685467
45;0.136571571
50;0.137463674
55;0.140965596
60;0.137567088
65;0.143486589
70;0.138941944
75;0.135756195
80;0.13746126
85;0.133014277
90;0.137090728
95;0.137557521
100;0.136646643
105;0.138932824
110;0.140421778
115;0.135127246
120;0.132469788
125;0.143366963
130;0.137244299
135;0.135733232
140;0.13987498
145;0.137415022
150;0.135818169
155;0.133964121
160;0.138629749
165;0.13539061
170;0.132078096
175;0.140858456
180;0.136329412
185;0.137463808
190;0.136050537
195;0.141112164
200;0.135574862
205;0.137490779
210;0.140497163
215;0.136016116
220;0.135915697
225;0.13776578
230;0.137655601
235;0.137281045
240;0.132945642
245;0.134674981
250;0.140452325
255;0.141726822
260;0.134631947
265;0.134937719
270;0.13967739
275;0.140292466
280;0.133655831
285;0.140051484
290;0.135317609
295;0.140521049
5;0.141330376
10;0.141189963
15;0.139563307
20;0.136612073
25;0.136523828
30;0.136317074
35;0.142321214
40;0.139735803
45;0.138421223
50;0.135208502
55;0.139458627
60;0.140309811
65;0.136092365
70;0.134049207
75;0.13827984
80;0.136180863
85;0.136493146
90;0.136745572
95;0.134103671
100;0.138780937
105;0.137483358
110;0.138633445
115;0.1382927
120;0.137177035
125;0.138707832
130;0.13897869
135;0.137216538
140;0.13559331
145;0.136839136
150;0.139739782
155;0.13382405
160;0.140167013
165;0.139332175
170;0.138727024
175;0.135188878
180;0.133310571
185;0.137821898
190;0.1369389
195;0.138048664
200;0.137927055
205;0.137026936
210;0.136301354
215;0.137092695
220;0.137389883
225;0.137318313
230;0.138670892
235;0.134260297
240;0.135736704
245;0.138390005
250;0.140457675
255;0.137837261
260;0.13705264
265;0.138837487
270;0.137887657
275;0.145155042
280;0.140235394
285;0.136748835
290;0.137750819
295;0.141673058
5;0.143268153
10;0.145594552
15;0.140544638
20;0.138733774
25;0.142732546
30;0.135357529
35;0.141348973
40;0.13801299
45;0.137731433
50;0.139812425
55;0.135956377
60;0.138641953
65;0.135875002
70;0.138262242
75;0.14025937
80;0.135656938
85;0.138007879
90;0.137201965
95;0.136085302
100;0.138905793
105;0.1399149
110;0.137093395
115;0.138055593
120;0.13715595
125;0.138428405
130;0.136362597
135;0.137281775
140;0.142421901
145;0.133667052
150;0.139255479
155;0.137224913
160;0.137189046
165;0.139233857
170;0.136558041
175;0.139269352
180;0.138161704
185;0.141846657
190;0.137368739
195;0.13854517
200;0.138804883
205;0.137392431
210;0.139405489
215;0.138931558
220;0.136395901
225;0.138554484
230;0.137406155
235;0.135816723
240;0.136410207
245;0.134346366
250;0.135548636
255;0.139084533
260;0.134120807
265;0.135343507
270;0.136238277
275;0.136588648
280;0.136799023
285;0.134919196
290;0.135611147
295;0.135817692
5;0.142508462
10;0.164196968
15;0.145257205
20;0.140125975
25;0.143902257
30;0.143311292
35;0.138771653
40;0.14073123
45;0.132623687
50;0.137073457
55;0.137390345
60;0.138089433
65;0.135955483
70;0.14054133
75;0.13882865
80;0.13528648
85;0.134520918
90;0.141223848
95;0.139841467
100;0.135139585
105;0.133487806
110;0.137081385
115;0.140261352
120;0.137092084
125;0.134516329
130;0.140158176
135;0.137098491
140;0.136586651
145;0.140354693
150;0.13826938
155;0.139156491
160;0.138833672
165;0.139144868
170;0.138257369
175;0.138011009
180;0.137775287
185;0.136399701
190;0.137295201
195;0.137627289
200;0.136878431
205;0.1377289
210;0.137901232
215;0.142121583
220;0.136195973
225;0.136322588
230;0.135329723
235;0.136429176
240;0.135549366
245;0.137684301
250;0.135540724
255;0.134503335
260;0.141201645
265;0.134946391
270;0.135268301
275;0.138883129
280;0.133598939
285;0.139617965
290;0.132679865
295;0.133335024
5;0.146036848
10;0.141987756
15;0.143006146
20;0.137172908
25;0.139428392
30;0.134758234
35;0.139938876
40;0.137859374
45;0.139317855
50;0.137000993
55;0.138550743
60;0.142226517
65;0.136677384
70;0.137530953
75;0.135625586
80;0.138915256
85;0.135159716
90;0.138921723
95;0.136957526
100;0.135888487
105;0.13887459
110;0.136077359
115;0.136318848
120;0.135753378
125;0.135860279
130;0.136830643
135;0.138081685
140;0.138028651
145;0.138235956
150;0.137150392
155;0.135832578
160;0.134758577
165;0.135648787
170;0.136994243
175;0.137165189
180;0.134793103
185;0.142156556
190;0.139983088
195;0.137284398
200;0.142721444
205;0.137567788
210;0.137427196
215;0.140211463
220;0.135517031
225;0.132911965
230;0.136126041
235;0.133693844
240;0.137205482
245;0.133599386
250;0.140921995
255;0.135517716
260;0.136958972
265;0.135974437
270;0.134997994
275;0.140841737
280;0.138678864
285;0.137054086
290;0.135580465
295;0.138585404
5;0.139440998
10;0.137779295
15;0.142075077
20;0.141692907
25;0.140778229
30;0.142322674
35;0.143236324
40;0.140899241
45;0.136236131
50;0.142326176
55;0.138088197
60;0.138363719
65;0.135362133
70;0.137957826
75;0.140395775
80;0.137488782
85;0.136679381
90;0.140256107
95;0.141074091
100;0.137524813
105;0.138609156
110;0.136988565
115;0.137689531
120;0.136205792
125;0.135308757
130;0.136691883
135;0.137696251
140;0.137528256
145;0.134825468
150;0.134230286
155;0.136918664
160;0.13744688
165;0.136504486
170;0.13623932
175;0.136235103
180;0.141096517
185;0.139658183
190;0.139353082
195;0.13861154
200;0.139112413
205;0.135580048
210;0.133588642
215;0.139231697
220;0.133512676
225;0.137037531
230;0.137265056
235;0.135632589
240;0.139127955
245;0.138813183
250;0.137825921
255;0.142362937
260;0.135778755
265;0.137715891
270;0.142129615
275;0.138078377
280;0.136002854
285;0.134996146
290;0.138697684
295;0.133555695
5;0.13995634
10;0.139676854
15;0.144323513
20;0.139655054
25;0.134716928
30;0.137137488
35;0.133783728
40;0.137888506
45;0.135462075
50;0.138983652
55;0.137756363
60;0.135946125
65;0.14064458
70;0.138070807
75;0.139955401
80;0.14113909
85;0.137883335
90;0.142721385
95;0.13815175
100;0.139484599
105;0.137965843
110;0.137255117
115;0.138261825
120;0.135369718
125;0.138881877
130;0.137045085
135;0.134717569
140;0.138010338
145;0.137149543
150;0.136623874
155;0.139690936
160;0.136770859
165;0.136146247
170;0.139724314
175;0.135991678
180;0.132840171
